Date	ABC (USD)	DEF (GBP)	XYZ (EUR)	GBP	EUR
1-Aug-15	$10.00	£100.00	€50.00	1.54	1.12
2-Aug-15	$10.50	£99.00	€52.00	1.55	1.13
3-Aug-15	$11.00	£98.00	€54.00	1.55	1.14
4-Aug-15	$11.50	£97.00	€56.00	1.55	1.14
5-Aug-15	$12.00	£96.00	€58.00	1.56	1.14
6-Aug-15	$12.50	£95.00	€60.00	1.56	1.15
7-Aug-15	$13.00	£94.00	€62.00	1.55	1.14
8-Aug-15	$13.50	£93.00	€64.00	1.55	1.15
9-Aug-15	$14.00	£92.00	€66.00	1.55	1.16
10-Aug-15	$14.50	£91.00	€68.00	1.54	1.15
11-Aug-15	$15.00	£90.00	€70.00	1.55	1.15
12-Aug-15	$15.50	£89.00	€72.00	1.55	1.14
13-Aug-15	$16.00	£88.00	€74.00	1.55	1.15
14-Aug-15	$16.50	£87.00	€76.00	1.55	1.16
15-Aug-15	$17.00	£86.00	€78.00	1.55	1.15
16-Aug-15	$17.50	£85.00	€80.00	1.55	1.14
17-Aug-15	$18.00	£84.00	€82.00	1.55	1.14
18-Aug-15	$18.50	£83.00	€84.00	1.56	1.14
19-Aug-15	$19.00	£82.00	€86.00	1.56	1.15
20-Aug-15	$19.50	£81.00	€88.00	1.57	1.16
21-Aug-15	$20.00	£80.00	€90.00	1.57	1.17
22-Aug-15	$20.50	£79.00	€92.00	1.58	1.17
23-Aug-15	$21.00	£78.00	€94.00	1.57	1.16
24-Aug-15	$21.50	£77.00	€96.00	1.58	1.17
25-Aug-15	$22.00	£76.00	€98.00	1.57	1.17
26-Aug-15	$22.50	£75.00	€100.00	1.57	1.16
27-Aug-15	$23.00	£74.00	€102.00	1.56	1.15
28-Aug-15	$23.50	£73.00	€104.00	1.56	1.16
29-Aug-15	$24.00	£72.00	€106.00	1.55	1.15
30-Aug-15	$24.50	£71.00	€108.00	1.55	1.14
31-Aug-15	$25.00	£70.00	€110.00	1.55	1.15
1-Sep-15	$25.00	£70.00	€110.00	1.55	1.15
